id,degree,title,degreetitle,level
3049,BSc/BS,Computer Science,BSc/BS Computer Science,6
3050,BSc/BS,Computer Science,BSc/BS Computer Science,6
3051,MSc/MS,Software Engineering,MSc/MS Software Engineering,7
3052,BSc/BS,Computer Science,BSc/BS Computer Science,6
3053,BSc/BS,Computer Science,BSc/BS Computer Science,6
3054,MSc/MS,Computer Science,MSc/MS Computer Science,7
3054,PhD,Computer Science,PhD Computer Science,8
3055,MSc/MS,Computer Science and Engineering,MSc/MS Computer Science and Engineering,7
3055,PhD,Computer Science,PhD Computer Science,8
3056,BSc/BS,Commerce,BSc/BS Commerce,6
3056,BSc/BS,Information Technology,BSc/BS Information Technology,6
3057,BTech,Computer Science,BTech Computer Science,6
3058,PhD,Computer Science,PhD Computer Science,8
3058,BSc/BS,Computer Science,BSc/BS Computer Science,6
3058,MSc/MS,Computer Science,MSc/MS Computer Science,7
3059,BSc/BS,Electrical Engineering,BSc/BS Electrical Engineering,6
3060,BE/Beng,Information Technology,BE/Beng Information Technology,6
3061,MSc/MS,Computer Science,MSc/MS Computer Science,7
3062,MSc/MS,Computer Science,MSc/MS Computer Science,7
3063,PhD,Computer Science,PhD Computer Science,8
3064,BSc/BS,Physics,BSc/BS Physics,6
3065,BA,Computer Science,BA Computer Science,6
3066,BSc/BS,Mathematics,BSc/BS Mathematics,6
3067,BE/Beng,Computer Science,BE/Beng Computer Science,6
3068,BSc/BS,Information Systems,BSc/BS Information Systems,6
3068,MSc/MS,Software Engineering,MSc/MS Software Engineering,7
3069,MCA,/,MCA /,7
3070,MSc/MS,Computer Science,MSc/MS Computer Science,7
3070,BSc/BS,Computer Science,BSc/BS Computer Science,6
3071,BSc/BS,Computer Science,BSc/BS Computer Science,6
3072,BSc/BS,Computer Science,BSc/BS Computer Science,6
3072,MSc/MS,Computer Science,MSc/MS Computer Science,7
3073,BCA,/,BCA /,6
3074,BSc/BS,Computer Science,BSc/BS Computer Science,6
3075,BSc/BS,Computer Science and Engineering,BSc/BS Computer Science and Engineering,6
3075,BSc/BS,Computer Science and Engineering,BSc/BS Computer Science and Engineering,6
3076,BSc/BS,Computer Science,BSc/BS Computer Science,6
3076,BSc/BS,Computer Science,BSc/BS Computer Science,6
3077,BSc/BS,Computer Science,BSc/BS Computer Science,6
3078,BSc/BS,Computer Science,BSc/BS Computer Science,6
3079,BSc/BS,Computer Science,BSc/BS Computer Science,6
3080,BSc/BS,Informatics,BSc/BS Informatics,6
3081,BTech,Computer Science,BTech Computer Science,6
3082,MSc/MS,Computer Science and Engineering,MSc/MS Computer Science and Engineering,7
3082,BSc/BS,Computer Science and Engineering,BSc/BS Computer Science and Engineering,6
3083,MSc/MS,Software Engineering,MSc/MS Software Engineering,7
3084,BSc/BS,Computer Science,BSc/BS Computer Science,6
3085,BSc/BS,Computer Science,BSc/BS Computer Science,6
3086,MSc/MS,Electrical Engineering,MSc/MS Electrical Engineering,7
3087,BSc/BS,Computer Science,BSc/BS Computer Science,6
3088,BSc/BS,Software Engineering,BSc/BS Software Engineering,6
3089,BSc/BS,Information Technology,BSc/BS Information Technology,6
3090,MSc/MS,Physics,MSc/MS Physics,7
3091,BA,Philosophy,BA Philosophy,6
3092,BSc/BS,Computer Science,BSc/BS Computer Science,6
3093,MCA,/,MCA /,7
3094,BSc/BS,Mathematics,BSc/BS Mathematics,6
3095,BSc/BS,Physics,BSc/BS Physics,6
3096,MSc/MS,Computer Science,MSc/MS Computer Science,7
3096,BSc/BS,Computer Science,BSc/BS Computer Science,6
3097,BTech,Computer Science and Engineering,BTech Computer Science and Engineering,6
3098,BSc/BS,Computer Science,BSc/BS Computer Science,6
3099,BSc/BS,Computer Engineering,BSc/BS Computer Engineering,6
3100,MSc/MS,Electrical Engineering,MSc/MS Electrical Engineering,7
3101,BA,Computer Science,BA Computer Science,6
3102,BSc/BS,Computer Science,BSc/BS Computer Science,6
3103,BSc/BS,Mathematics,BSc/BS Mathematics,6
3104,MSc/MS,Computer Science,MSc/MS Computer Science,7
